"operator","enbId_rncId","cellId","frequency","trueServingCoverageArea_latitude","trueServingCoverageArea_longitude","normalizedServingCoverageArea_latitude","normalizedServingCoverageArea_longitude","fullActivityCoverage_latitude","fullActivityCoverage_longitude","bts_latitude","bts_longitude","altitude_altitude","Neighbor_Cell_0_latitude","Neighbor_Cell_0_longitude","Neighbor_Cell_1_latitude","Neighbor_Cell_1_longitude","Neighbor_Cell_2_latitude","Neighbor_Cell_2_longitude","ID"
"MegaCom Ltd",25581,13,"6400",52.3068733215,4.83408689499,52.3068733215,4.83408689499,52.3063316345,4.83322763443,"52.3062515259","4.84326648712","47","52.3062782288","4.83111810684","52.3072280884","4.82257795334","52.3076133728","4.83420419693",60
"MegaCom Ltd",40201,12,"6400",52.3650016785,4.91980457306,52.3650016785,4.91980457306,52.3648452759,4.92058086395,"NULL","NULL","51","52.36378479","4.91931629181","52.3653068542","4.92289543152","52.3652114868","4.92184591293",61
"MegaCom Ltd",40251,13,"6400",52.3549995422,4.86149406433,52.3549995422,4.86149406433,52.3550453186,4.86274433136,"52.3543739319","4.86455583572","41","52.3550796509","4.86159181595","52.3559913635","4.86204576492","52.3553924561","4.85565900803",62
"MegaCom Ltd",30911,32,"1300",52.3818740845,4.92409181595,52.3818740845,4.92409181595,52.3829193115,4.92384290695,"52.3868751526","4.92409181595","50","52.3784179688","4.93747091293","52.3800697327","4.93477535248","52.3811531067","4.92728042603",63
"MegaCom Ltd",6671,33,"1300",52.3125,4.94281244278,52.3125,4.94281244278,52.3128814697,4.94256353378,"NULL","NULL","188","NULL","NULL","NULL","NULL","NULL","NULL",64
"MegaCom Ltd",21081,11,"6400",52.4131240845,4.80527353287,52.4131240845,4.80527353287,52.4122848511,4.80462408066,"52.4150009155","4.80527353287","49","52.4230384827","4.80737781525","52.4189567566","4.80376958847","52.4128646851","4.80507326126",65
"MegaCom Ltd",19721,31,"1300",52.3800010681,4.91477060318,52.3800010681,4.91477060318,52.3784942627,4.91293954849,"52.3781242371","4.91374492645","51","52.3768882751","4.91141605377","52.3771781921","4.91398906708","52.3791847229","4.9109621048",66
"MegaCom Ltd",36461,11,"6400",52.3543739319,4.82456064224,52.3543739319,4.82456064224,52.3581008911,4.82786607742,"52.3543739319","4.82354021072","47","52.3577041626","4.82773447037","52.3582000732","4.83045911789","52.3572235107","4.82722663879",67
"MegaCom Ltd",541,12,"6400",52.3031234741,4.96006822586,52.3031234741,4.96006822586,52.3039932251,4.96050310135,"52.3074989319","4.96006822586","47","52.3042564392","4.96085453033","52.3051719666","4.96326637268","52.3033981323","4.95979499817",68
"MegaCom Ltd",7411,32,"1300",52.3149986267,4.9399805069,52.3149986267,4.9399805069,52.3153800964,4.94084453583,"NULL","NULL","64","52.3149528503","4.9408788681","52.3149795532","4.94086933136","52.3155822754","4.94159173965",69
